,Ewe_a_100,Ewe_a_10,Ewe_a_1,Ewe_a_pt1,alpha100_1000mean,alpha100_1000stddev,alpha10_1000mean,alpha10_1000stddev,alpha1_1000mean,alpha1_1000stddev,alphapt1_1000mean,alphapt1_1000stddev,alpha100_500mean,alpha100_500stddev,alpha10_500mean,alpha10_500stddev,alpha1_500mean,alpha1_500stddev,alphapt1_500mean,alphapt1_500stddev,alpha100_250mean,alpha100_250stddev,alpha10_250mean,alpha10_250stddev,alpha1_250mean,alpha1_250stddev,alphapt1_250mean,alphapt1_250stddev
417,0.894413483,0.897987021,0.900475525,0.901807036,0.090373068,0.008683151,0.052177451,0.012553066,-0.058313763,0.006038157,-0.230976631,0.037144313,0.106367451,0.022529527,0.069895427,0.006739252,-0.041328743,0.018881041,-0.255412591,0.040060401,0.10853657,0.02309749,0.072293026,0.011458738,-0.011430395,0.008325437,-0.228899608,0.015961661
418,0.895332637,0.899001018,0.901477869,0.902814047,0.088266064,0.011772604,0.04603094,0.002713837,-0.068020281,0.014204634,-0.222634176,0.029409532,0.103139128,0.023525836,0.071066631,0.017369005,-0.04217378,0.021159951,-0.256871592,0.026286873,0.106821867,0.028629323,0.079742165,0.010337977,-0.011871216,0.007915447,-0.23801414,0.01024876
419,0.896399472,0.900003819,0.902480671,0.903812537,0.083504619,0.00826959,0.042141857,0.00137294,-0.064887288,0.005324351,-0.243243219,0.022789079,0.107758118,0.033274303,0.072093623,0.002761027,-0.063467823,0.033042712,-0.27408706,0.008089635,0.109198217,0.035507941,0.095187028,0.045836722,-0.018424639,0.009331529,-0.244973224,0.023051298
420,0.897270256,0.90097769,0.903501175,0.904845013,0.091520555,0.002898483,0.037536687,0.005523101,-0.069250875,0.010465826,-0.235978446,0.035433118,0.104965183,0.024169161,0.067560219,0.011589944,-0.058588306,0.024257045,-0.265052615,0.027089309,0.104879517,0.029951131,0.103922092,0.062893986,-0.020285834,0.010509715,-0.239763861,0.013976921
421,0.898278648,0.901937618,0.904489902,0.905815951,0.083424957,0.013357716,0.038433735,0.005068397,-0.073354113,0.0048101,-0.249709458,0.029945921,0.104820391,0.02174785,0.064259724,0.007905997,-0.053731244,0.019543097,-0.268008284,0.030383594,0.105926986,0.021393493,0.080688446,0.012021223,-0.0216707,0.009961123,-0.239534857,0.005688115
422,0.8992596,0.902960687,0.905495608,0.906838014,0.128176633,0.083007035,0.040596942,0.011805951,-0.081824845,0.006300677,-0.249888292,0.032520518,0.104222521,0.024856093,0.069262967,0.00325593,-0.059541568,0.018468879,-0.272395825,0.025940832,0.104547872,0.035691443,0.083755761,0.030733709,-0.028514954,0.010506428,-0.250386923,0.011687561
423,0.9002826,0.903922166,0.906538543,0.90782479,0.07430875,0.001439621,0.037819964,0.004798229,-0.085359625,0.008801832,-0.251613064,0.035390779,0.102917672,0.023729375,0.065187013,0.013418785,-0.056162566,0.016533136,-0.289760692,0.027919076,0.104726372,0.026382346,0.081369551,0.023246284,-0.029777858,0.011711613,-0.250595898,0.006932595
424,0.901207969,0.905045119,0.907482257,0.908808456,0.075847132,0.005569405,0.0301747,0.001643151,-0.092161487,0.016374907,-0.259843982,0.027767515,0.103026863,0.024226027,0.057462743,0.00602773,-0.064867986,0.017908568,-0.275489882,0.027378697,0.103540908,0.028861915,0.071948886,0.023089327,-0.035193708,0.008828157,-0.255886114,0.011511781
425,0.902186886,0.906036202,0.908481635,0.909816606,0.050357289,0.042208225,0.029061233,0.005859199,-0.090305177,0.007941029,-0.254655518,0.032232341,0.105815947,0.028774738,0.07014324,0.006933239,-0.076818145,0.022401601,-0.297011436,0.033013419,0.10904793,0.031751509,0.077430145,0.011450304,-0.038234474,0.013993394,-0.264161462,0.009699847
426,0.903165475,0.907027888,0.909494529,0.910840585,0.056462365,0.024206254,0.027366543,0.007754473,-0.096858849,0.011197787,-0.260969122,0.030546401,0.09835895,0.026625325,0.053371658,0.005190023,-0.080511501,0.024428093,-0.28957816,0.029900414,0.106456976,0.027306263,0.061165525,0.006793833,-0.042210133,0.011787757,-0.269302438,0.014605725
427,0.904142761,0.908025022,0.910483795,0.911839262,0.072706645,0.007121763,0.030895674,0.013819602,-0.098534574,0.01137283,-0.286121896,0.017818891,0.09993986,0.027904913,0.060004279,0.012542579,-0.083523981,0.020517892,-0.298860086,0.031517288,0.105224375,0.028788848,0.06427102,0.010279362,-0.047681723,0.012286396,-0.265568565,0.013369596
428,0.905134867,0.909008782,0.911440367,0.91283894,0.072713182,0.004762119,0.023417802,0.008376841,-0.10841835,0.006945231,-0.271277965,0.031951623,0.100107399,0.02441909,0.057048276,0.007594962,-0.103787998,0.024667264,-0.292680877,0.034995371,0.103749752,0.027936608,0.063303265,0.005251396,-0.054487,0.019937287,-0.259629284,0.019164421
429,0.906121093,0.910037383,0.912523316,0.913881057,0.074885142,0.006932944,0.022252968,0.010990104,-0.107567063,0.010663167,-0.271607421,0.029861913,0.098225111,0.025494853,0.055487967,0.007603359,-0.105108774,0.034602828,-0.287925236,0.006986851,0.10199353,0.028065842,0.054035878,0.00060699,-0.053369329,0.014475202,-0.275320213,0.004723044
430,0.907072947,0.911048227,0.91348474,0.914828237,0.07207817,0.011289529,0.016338915,0.004270082,-0.117250025,0.009355923,-0.286697815,0.043038436,0.098283082,0.022414633,0.046872758,0.00879629,-0.094691244,0.025183095,-0.296154787,0.026812892,0.104601396,0.021709131,0.053723549,0.003478312,-0.056643668,0.009606933,-0.278827997,0.014909456
431,0.908028807,0.912004166,0.914533884,0.915830679,0.067454292,0.000786045,0.016875348,0.002358657,-0.119415706,0.021519651,-0.281492439,0.035221456,0.096769512,0.0332404,0.051458868,0.012072655,-0.103540577,0.029690842,-0.33508397,0.046928899,0.103818638,0.031489976,0.051585561,0.008657342,-0.060531924,0.010982487,-0.27763239,0.012678834
432,0.909018024,0.913042007,0.91544988,0.916816399,0.068319866,0.005321097,0.012976686,0.002088305,-0.121141368,0.012315861,-0.294803207,0.037720826,0.091292181,0.022432298,0.048406314,0.001311862,-0.108452616,0.022665082,-0.31802932,0.037949158,0.098985275,0.019078049,0.05254479,0.013334747,-0.068404423,0.013584317,-0.279324425,0.012295972
433,0.910061352,0.914013125,0.91653799,0.917835156,0.061100703,0.004814894,0.009117917,0.005297472,-0.120976821,0.008364472,-0.2865126,0.02845133,0.091881312,0.028260586,0.042926935,0.004419949,-0.112219595,0.026211558,-0.330876707,0.027493667,0.102482498,0.02873237,0.04488281,0.007141322,-0.069615055,0.014637337,-0.293245686,0.007162651
434,0.911028493,0.91498176,0.917582798,0.918826367,0.060985287,0.004428596,0.005987437,0.005476161,-0.135439714,0.014458382,-0.294376256,0.032558741,0.094820634,0.027028913,0.048739212,0.014947408,-0.139909459,0.015834394,-0.328421308,0.019615389,0.099720582,0.032307715,0.049519944,0.007728399,-0.09478508,0.03158751,-0.296325562,0.014897125
435,0.912004471,0.915962545,0.918640803,0.919819783,0.066926444,0.003363905,0.003512632,0.005274713,-0.12154829,0.014885669,-0.3069553,0.02922988,0.091710476,0.025983936,0.039623745,0.009069526,-0.133819301,0.042720831,-0.340578381,0.03438344,0.099410077,0.020416147,0.044525905,0.005790624,-0.078173921,0.010865785,-0.299587495,0.026879308
436,0.912989916,0.917050722,0.919638558,0.920851262,0.063961055,0.012427391,0.003298197,0.006240892,-0.132120587,0.013250818,-0.299665584,0.035610629,0.093413518,0.026148519,0.036982084,0.006773408,-0.125383576,0.03070299,-0.336077203,0.020482884,0.099060982,0.028170974,0.044178352,0.013511237,-0.089682185,0.008187084,-0.299267246,0.017764989
437,0.91388872,0.917986924,0.920657427,0.921788382,0.063864859,0.003712192,-0.001526912,0.00661571,-0.153756536,0.022596233,-0.316658033,0.038121784,0.093840205,0.025781155,0.041964889,0.005593888,-0.130577668,0.026318111,-0.334420929,0.026692542,0.099206982,0.023174536,0.040064201,0.008068263,-0.08333521,0.015816468,-0.300130317,0.005052763
