,Ewe_a_100,Ewe_a_10,Ewe_a_1,Ewe_a_pt1,alpha100_1000mean,alpha100_1000stddev,alpha10_1000mean,alpha10_1000stddev,alpha1_1000mean,alpha1_1000stddev,alphapt1_1000mean,alphapt1_1000stddev,alpha100_500mean,alpha100_500stddev,alpha10_500mean,alpha10_500stddev,alpha1_500mean,alpha1_500stddev,alphapt1_500mean,alphapt1_500stddev,alpha100_250mean,alpha100_250stddev,alpha10_250mean,alpha10_250stddev,alpha1_250mean,alpha1_250stddev,alphapt1_250mean,alphapt1_250stddev
42,0.536216021,0.536234256,0.536195298,0.536266167,0.251373122,0.016071653,0.325347341,0.029652318,0.375385994,0.069320316,0.409125585,0.067687027,0.284631138,0.080008508,0.364787421,0.055445579,0.4856928,0.082246899,0.733837889,0.298784525,0.307050579,0.058241632,0.363183365,0.056157944,0.448641702,0.118435003,0.856804817,0.313425186
43,0.537240002,0.537256211,0.537211962,0.537264998,0.265754207,0.011756372,0.325253473,0.022711271,0.389483568,0.037225276,0.48622561,0.066054146,0.275245552,0.050855012,0.337405027,0.071818444,0.436027213,0.115730165,0.587861245,0.048481342,0.2951919,0.037328998,0.381863195,0.033283278,0.472209737,0.071327993,0.638766834,0.194540163
44,0.53825852,0.538265488,0.538230761,0.538236083,0.26257896,0.026214301,0.317763744,0.01900228,0.360104553,0.09168171,0.48887022,0.161153867,0.292332313,0.055606911,0.370755038,0.053295558,0.418947862,0.044819841,0.744335131,0.248894075,0.310460312,0.038964384,0.367585093,0.056192893,0.400967411,0.067189535,0.732008999,0.318832792
45,0.539216704,0.539240835,0.539216696,0.539222002,0.268609631,0.015846821,0.322011246,0.026769828,0.356750957,0.049875302,0.493420686,0.064701336,0.289780249,0.068105392,0.348723473,0.072237267,0.506638948,0.086210381,0.715860193,0.146381795,0.297894786,0.060224333,0.362007894,0.060689725,0.452905974,0.134641335,0.777416032,0.2451939
46,0.540255428,0.540220264,0.540223799,0.540246199,0.252496824,0.018857322,0.325031446,0.019341996,0.370287714,0.022797094,0.448838878,0.050189702,0.288311896,0.054672028,0.348856229,0.06893711,0.430637627,0.114166978,0.722438106,0.1923163,0.297734699,0.045194993,0.375190629,0.046000576,0.462384842,0.090393939,0.639557429,0.263048345
47,0.54123032,0.541238877,0.541242708,0.541220427,0.268477453,0.013313882,0.328034235,0.031851299,0.380891979,0.084149957,0.472277002,0.107528538,0.280504046,0.062960696,0.371280452,0.068924786,0.445259617,0.061395577,0.61014811,0.105441565,0.307787703,0.037470513,0.371702555,0.063057642,0.414477498,0.104828136,0.68015002,0.247917409
48,0.542287111,0.542223562,0.542243603,0.542229814,0.262165025,0.023604188,0.313059627,0.024782738,0.389970086,0.070786783,0.464514717,0.044677559,0.289667508,0.07225398,0.352796237,0.074424997,0.467021518,0.069016664,0.735871686,0.229346373,0.313234823,0.053131634,0.374767129,0.0537935,0.443740883,0.089818529,0.772160623,0.229871618
49,0.543270589,0.543216683,0.543204159,0.543240314,0.270600899,0.031973591,0.334048222,0.013512738,0.378771034,0.014340767,0.469806747,0.089655475,0.276766735,0.055563584,0.365724921,0.0709003,0.44475549,0.068072588,0.546799065,0.079981012,0.29828783,0.03539479,0.369203973,0.066431912,0.431817558,0.072852843,0.538867693,0.160630761
50,0.544227712,0.544222742,0.54423347,0.544260253,0.268756944,0.009923422,0.317655533,0.018468845,0.343269719,0.021383049,0.393967873,0.012899124,0.292171822,0.074184247,0.358146458,0.066156193,0.414679231,0.085911031,0.673740358,0.198841245,0.318303826,0.051082415,0.376968906,0.048732386,0.424378059,0.092669978,0.720513022,0.308647902
51,0.545224016,0.545217117,0.545243848,0.545236691,0.262114997,0.010852532,0.326746612,0.016903453,0.370210122,0.045821287,0.492173161,0.144268814,0.289053248,0.057056097,0.360724438,0.069846904,0.445825654,0.056944433,0.596734689,0.113547539,0.301110342,0.042576325,0.365794268,0.066948316,0.435648062,0.057605607,0.578875788,0.083590574
