EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.802 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.530              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.370               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.830              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.730              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	1	0	3.470255813035874E+003	-4.0071249E-001	-4.0147814E-001	1.837430143614839E-002	1.000000000000000E+000	1.1738631E-004	13	1.2051141E-002	3.8229628E+000	6.280299841346277E+000	-7.3768806E-006	-4.1352928E-001
2	1	0	1	0	3.470505813029558E+003	-3.9571244E-001	-3.9646003E-001	1.841038417745855E-002	1.000000000000000E+000	1.2232957E-004	13	7.2332425E-003	3.8229628E+000	6.530299835030746E+000	-7.2989815E-006	-4.0369326E-001
2	1	0	1	0	3.470755813023243E+003	-3.9071247E-001	-3.9146310E-001	1.845647936740746E-002	1.000000000000000E+000	1.2728349E-004	13	2.5437239E-003	3.8229628E+000	6.780299828715215E+000	-7.2250305E-006	-3.9400682E-001
2	1	0	1	0	3.471005813016927E+003	-3.8571244E-001	-3.8647744E-001	1.853471167296900E-002	1.000000000000000E+000	1.3225076E-004	13	-2.0765667E-003	3.8229628E+000	7.030299822399684E+000	-7.1632480E-006	-3.8440087E-001
2	1	0	1	0	3.471255813010612E+003	-3.8071248E-001	-3.8148335E-001	1.856866985247446E-002	1.000000000000000E+000	1.3722622E-004	13	-6.6182702E-003	3.8229628E+000	7.280299816084153E+000	-7.0836381E-006	-3.7486508E-001
2	1	0	1	0	3.471505813004296E+003	-3.7571242E-001	-3.7647766E-001	1.865459432260019E-002	1.000000000000000E+000	1.4222089E-004	13	-1.1066590E-002	3.8229628E+000	7.530299809768621E+000	-7.0230381E-006	-3.6541107E-001
2	1	0	1	0	3.471755812997981E+003	-3.7071246E-001	-3.7149328E-001	1.873893682531343E-002	1.000000000000000E+000	1.4723481E-004	13	-1.5478856E-002	3.8229628E+000	7.780299803453090E+000	-6.9613893E-006	-3.5601443E-001
2	1	0	1	0	3.472005812991665E+003	-3.6571243E-001	-3.6647567E-001	1.875307667148335E-002	1.000000000000000E+000	1.5225844E-004	13	-1.9775858E-002	3.8229628E+000	8.030299797137559E+000	-6.8725462E-006	-3.4669980E-001
2	1	0	1	0	3.472255812985350E+003	-3.6071244E-001	-3.6146411E-001	1.882858102195623E-002	1.000000000000000E+000	1.5729923E-004	13	-2.4029184E-002	3.8229628E+000	8.280299790822028E+000	-6.8058562E-006	-3.3743492E-001
2	1	0	1	0	3.472505812979034E+003	-3.5571241E-001	-3.5646117E-001	1.884246372133130E-002	1.000000000000000E+000	1.6235231E-004	13	-2.8217740E-002	3.8229628E+000	8.530299784506497E+000	-6.7166065E-006	-3.2824343E-001
2	1	0	1	0	3.472755812972719E+003	-3.5071245E-001	-3.5149014E-001	1.891136061096077E-002	1.000000000000000E+000	1.6741321E-004	13	-3.2323975E-002	3.8229628E+000	8.780299778190965E+000	-6.6471566E-006	-3.1916615E-001
2	1	0	1	0	3.473005812966403E+003	-3.4571236E-001	-3.4648079E-001	1.896626611761315E-002	1.000000000000000E+000	1.7249068E-004	13	-3.6375377E-002	3.8229628E+000	9.030299771875434E+000	-6.5714466E-006	-3.1010541E-001
2	1	0	1	0	3.473255812960088E+003	-3.4071240E-001	-3.4146705E-001	1.897613816185023E-002	1.000000000000000E+000	1.7756998E-004	13	-4.0350519E-002	3.8229628E+000	9.280299765559903E+000	-6.4797259E-006	-3.0111653E-001
2	1	0	1	0	3.473505812953772E+003	-3.3571240E-001	-3.3647951E-001	1.903686452408326E-002	1.000000000000000E+000	1.8266258E-004	13	-4.4269890E-002	3.8229628E+000	9.530299759244372E+000	-6.4055148E-006	-2.9220963E-001
2	1	0	1	0	3.473755812947456E+003	-3.3071244E-001	-3.3147362E-001	1.908824567328263E-002	1.000000000000000E+000	1.8777233E-004	13	-4.8123531E-002	3.8229628E+000	9.780299752928840E+000	-6.3272500E-006	-2.8335008E-001
2	1	0	1	0	3.474005812941141E+003	-3.2571238E-001	-3.2649183E-001	1.910697972896153E-002	1.000000000000000E+000	1.9289023E-004	13	-5.1916856E-002	3.8229628E+000	1.003029974661331E+001	-6.2382728E-006	-2.7457497E-001
2	1	0	1	0	3.474255812934825E+003	-3.2071242E-001	-3.2147348E-001	1.919436822431544E-002	1.000000000000000E+000	1.9802230E-004	13	-5.5675521E-002	3.8229628E+000	1.028029974029778E+001	-6.1704804E-006	-2.6579797E-001
2	1	0	1	0	3.474505812928510E+003	-3.1571239E-001	-3.1649059E-001	1.918177272163052E-002	1.000000000000000E+000	2.0316067E-004	13	-5.9346691E-002	3.8229628E+000	1.053029973398225E+001	-6.0708508E-006	-2.5714391E-001
2	1	0	1	0	3.474755812922194E+003	-3.1071240E-001	-3.1148547E-001	1.923769167038386E-002	1.000000000000000E+000	2.0830665E-004	13	-6.2966146E-002	3.8229628E+000	1.078029972766672E+001	-5.9922613E-006	-2.4851933E-001
2	1	0	1	0	3.475005812915879E+003	-3.0571234E-001	-3.0648637E-001	1.925188229699654E-002	1.000000000000000E+000	2.1346356E-004	13	-6.6539876E-002	3.8229628E+000	1.103029972135118E+001	-5.9004396E-006	-2.3994648E-001
2	1	0	1	0	3.475255812909563E+003	-3.0071241E-001	-3.0149919E-001	1.926656490663836E-002	1.000000000000000E+000	2.1861750E-004	13	-7.0040911E-002	3.8229628E+000	1.128029971503565E+001	-5.8088535E-006	-2.3145828E-001
2	1	0	1	0	3.475505812903248E+003	-2.9571235E-001	-2.9651126E-001	1.929361051895673E-002	1.000000000000000E+000	2.2378605E-004	13	-7.3508725E-002	3.8229628E+000	1.153029970872012E+001	-5.7207726E-006	-2.2300254E-001
2	1	0	1	0	3.475755812896932E+003	-2.9071239E-001	-2.9150239E-001	1.930423059657581E-002	1.000000000000000E+000	2.2896066E-004	13	-7.6904118E-002	3.8229628E+000	1.178029970240459E+001	-5.6272293E-006	-2.1459827E-001
2	1	0	1	0	3.476005812890617E+003	-2.8571233E-001	-2.8651527E-001	1.936540659675456E-002	1.000000000000000E+000	2.3413992E-004	13	-8.0237776E-002	3.8229628E+000	1.203029969608906E+001	-5.5484848E-006	-2.0627749E-001
2	1	0	1	0	3.476255812884301E+003	-2.8071237E-001	-2.8148320E-001	1.938553185552241E-002	1.000000000000000E+000	2.3932941E-004	13	-8.3524495E-002	3.8229628E+000	1.228029968977353E+001	-5.4567017E-006	-1.9795871E-001
2	1	0	1	0	3.476505812877986E+003	-2.7571231E-001	-2.7650300E-001	1.939390951903781E-002	1.000000000000000E+000	2.4451822E-004	13	-8.6748324E-002	3.8229628E+000	1.253029968345800E+001	-5.3624740E-006	-1.8975466E-001
2	1	0	1	0	3.476755812871670E+003	-2.7071232E-001	-2.7150896E-001	1.940601539946971E-002	1.000000000000000E+000	2.4971078E-004	13	-8.9929402E-002	3.8229628E+000	1.278029967714247E+001	-5.2689070E-006	-1.8157956E-001
2	1	0	1	0	3.477005912865352E+003	-2.6571041E-001	-2.6648980E-001	1.939835030248704E-002	1.000000000000000E+000	2.5490823E-004	13	-9.3056925E-002	3.8229628E+000	1.303039967082441E+001	-5.1694624E-006	-1.7343289E-001
2	1	0	1	0	3.477256012859041E+003	-2.6070833E-001	-2.6149970E-001	1.938273480754410E-002	1.000000000000000E+000	2.6009965E-004	13	-9.6118167E-002	3.8229628E+000	1.328049966451363E+001	-5.0685794E-006	-1.6538154E-001
2	1	0	1	0	3.477506012852726E+003	-2.5570831E-001	-2.5649065E-001	1.945274787025242E-002	1.000000000000000E+000	2.6530348E-004	13	-9.9144578E-002	3.8229628E+000	1.353049965819810E+001	-4.9894479E-006	-1.5734607E-001
2	1	0	1	0	3.477756012846410E+003	-2.5070831E-001	-2.5149822E-001	1.940898166899735E-002	1.000000000000000E+000	2.7050756E-004	13	-1.0211535E-001	3.8229628E+000	1.378049965188256E+001	-4.8813245E-006	-1.4938287E-001
2	1	0	1	0	3.478006012840095E+003	-2.4570832E-001	-2.4650244E-001	1.946098098276361E-002	1.000000000000000E+000	2.7571077E-004	13	-1.0503489E-001	3.8229628E+000	1.403049964556703E+001	-4.7971794E-006	-1.4146756E-001
2	1	0	1	0	3.478256012833779E+003	-2.4070832E-001	-2.4148725E-001	1.941113662430832E-002	1.000000000000000E+000	2.8091727E-004	13	-1.0791457E-001	3.8229628E+000	1.428049963925150E+001	-4.6875421E-006	-1.3357268E-001
2	1	0	1	0	3.478506012827464E+003	-2.3570831E-001	-2.3648873E-001	1.941416292652481E-002	1.000000000000000E+000	2.8611880E-004	13	-1.1071634E-001	3.8229628E+000	1.453049963293597E+001	-4.5912307E-006	-1.2577239E-001
2	1	0	1	0	3.478756012821148E+003	-2.3070832E-001	-2.3149866E-001	1.944951769035813E-002	1.000000000000000E+000	2.9132335E-004	13	-1.1348365E-001	3.8229628E+000	1.478049962662044E+001	-4.5025372E-006	-1.1801501E-001
2	1	0	1	0	3.479006012814833E+003	-2.2570832E-001	-2.2648878E-001	1.939432677412171E-002	1.000000000000000E+000	2.9652272E-004	13	-1.1620124E-001	3.8229628E+000	1.503049962030491E+001	-4.3925975E-006	-1.1028754E-001
2	1	0	1	0	3.479256012808517E+003	-2.2070830E-001	-2.2148959E-001	1.939763529044047E-002	1.000000000000000E+000	3.0171452E-004	13	-1.1886234E-001	3.8229628E+000	1.528049961398938E+001	-4.2963743E-006	-1.0262726E-001
2	1	0	1	0	3.479506012802201E+003	-2.1570830E-001	-2.1648350E-001	1.935457835784893E-002	1.000000000000000E+000	3.0691089E-004	13	-1.2148083E-001	3.8229628E+000	1.553049960767385E+001	-4.1899470E-006	-9.5002674E-002
2	1	0	1	0	3.479756012795886E+003	-2.1070828E-001	-2.1149704E-001	1.934900985148474E-002	1.000000000000000E+000	3.1210069E-004	13	-1.2403843E-001	3.8229628E+000	1.578049960135832E+001	-4.0922582E-006	-8.7458611E-002
2	1	0	1	0	3.480006012789570E+003	-2.0570830E-001	-2.0648570E-001	1.941363687894690E-002	1.000000000000000E+000	3.1729433E-004	13	-1.2656556E-001	3.8229628E+000	1.603049959504278E+001	-4.0086384E-006	-7.9920143E-002
2	1	0	1	0	3.480256012783255E+003	-2.0070824E-001	-2.0146972E-001	1.930772023731664E-002	1.000000000000000E+000	3.2248677E-004	13	-1.2903421E-001	3.8229628E+000	1.628049958872725E+001	-3.8899211E-006	-7.2435513E-002
