setup_index,setup_experiment_index,material,electrolyte_concentration_M,replicate,setup_label,z_mean,z_sd,z_median,z_hdi95_lower,z_hdi95_upper,offset_mean,offset_sd,offset_median,offset_hdi95_lower,offset_hdi95_upper
0,0,Ag10Pd90,0.25,A,material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=A,0.19963694549921768,0.8536701816593021,0.20976512316098286,-1.5154236324273012,1.7873154284354278,0.015865722533002478,0.04323913353666193,0.012897647985432152,-0.07231406183457893,0.10332387785429285
26,8,Ag50Pd50,1.0,C,material=Ag50Pd50 | electrolyte_concentration_M=1.0 | replicate=C,-0.8968278083100988,0.6363499035577422,-0.9002495667741228,-2.105323586054581,0.3788650009809047,-0.15908159232050664,0.023958105961567333,-0.15878301819323218,-0.20540151389226124,-0.11190886616327896
27,9,Ag75Pd25,0.25,A,material=Ag75Pd25 | electrolyte_concentration_M=0.25 | replicate=A,0.798297206548478,0.6501635350084806,0.7896085065016081,-0.526071439400854,1.9902457170325611,0.08665074616516577,0.021366493353693203,0.08633672719209545,0.04543177695332809,0.12796691992526532
28,9,Ag75Pd25,0.25,B,material=Ag75Pd25 | electrolyte_concentration_M=0.25 | replicate=B,-0.12013103209552414,0.6217724146080091,-0.11784789453198298,-1.301533999836581,1.1459284611296325,-0.012051553568250606,0.021407193821705313,-0.011957626906897181,-0.05277530393157795,0.03200144587037734
29,9,Ag75Pd25,0.25,C,material=Ag75Pd25 | electrolyte_concentration_M=0.25 | replicate=C,-0.7052578549861287,0.6410547462348924,-0.6998332649188949,-1.9677969774087432,0.5555822947069455,-0.07459919259691518,0.020900988563273593,-0.07433615613797405,-0.11688547730572386,-0.03517722599512043
30,10,Ag75Pd25,0.5,A,material=Ag75Pd25 | electrolyte_concentration_M=0.5 | replicate=A,0.010482079600883307,0.6019340955996837,0.012118300251832108,-1.1433899135869645,1.2346917459707711,0.000560826061031147,0.020740147222086017,0.0004030007216819548,-0.03655389183541511,0.04419852580564311
31,10,Ag75Pd25,0.5,B,material=Ag75Pd25 | electrolyte_concentration_M=0.5 | replicate=B,-0.13575671131544123,0.6010366939040817,-0.13654610970080755,-1.3134007993885861,1.0258610120858531,-0.015087999913135523,0.021041791731707046,-0.014867526146995151,-0.055831467953285474,0.025050490998982704
32,10,Ag75Pd25,0.5,C,material=Ag75Pd25 | electrolyte_concentration_M=0.5 | replicate=C,0.13908226750945527,0.6097552472851037,0.1433437925205443,-1.0659822753279053,1.3426525015343527,0.014527173852104374,0.020651168725289517,0.014061399205892154,-0.025503354238508455,0.053360227866680446
33,11,Ag75Pd25,1.0,A,material=Ag75Pd25 | electrolyte_concentration_M=1.0 | replicate=A,0.6403333800155494,0.631751392443527,0.6353964162688299,-0.5742263865535842,1.9292367841889804,0.06949536498241213,0.02113214905059743,0.06979671659089985,0.03006270370498149,0.11318144840408442
34,11,Ag75Pd25,1.0,B,material=Ag75Pd25 | electrolyte_concentration_M=1.0 | replicate=B,0.9524446700008213,0.656448404938252,0.9432997932198859,-0.2914051379874397,2.2562178720399895,0.10315543778191207,0.021526209763168175,0.1030847664691521,0.059529232904533706,0.14444261859017887
35,11,Ag75Pd25,1.0,C,material=Ag75Pd25 | electrolyte_concentration_M=1.0 | replicate=C,-1.6175707292335528,0.7414215094772529,-1.6115134341109756,-3.0530375432462122,-0.13953713506650756,-0.1726508027643242,0.022483236240598108,-0.172324125882939,-0.21858070174217484,-0.1306207323619918
36,12,Ag90Pd10,0.25,A,material=Ag90Pd10 | electrolyte_concentration_M=0.25 | replicate=A,0.6991822897195196,0.6258675184346573,0.6854328493986794,-0.4267010400767651,1.9947158432205976,0.1614514644193015,0.03652526684645459,0.16121040694443153,0.09524145827786051,0.23983320510806702
37,12,Ag90Pd10,0.25,B,material=Ag90Pd10 | electrolyte_concentration_M=0.25 | replicate=B,1.1045283363806901,0.6684742349658103,1.0940737763683024,-0.24887661600520117,2.347819413814349,0.25472913520042567,0.03531725362003028,0.2547082114514526,0.18500141213570612,0.3225693940659082
38,12,Ag90Pd10,0.25,C,material=Ag90Pd10 | electrolyte_concentration_M=0.25 | replicate=C,-1.804456418976183,0.7306566316981549,-1.8017476135384478,-3.1838199295437817,-0.3684897692065432,-0.4161805996197272,0.036495983252973735,-0.416145737505812,-0.4846459434900073,-0.3442611799835466
39,13,Ag90Pd10,0.5,A,material=Ag90Pd10 | electrolyte_concentration_M=0.5 | replicate=A,0.6348544548381596,0.6012282260780437,0.6325627733911818,-0.5292370447729174,1.7853166371636768,0.1439879374762466,0.037645812353505795,0.14377838008943017,0.07382709920850804,0.22006288540542612
40,13,Ag90Pd10,0.5,B,material=Ag90Pd10 | electrolyte_concentration_M=0.5 | replicate=B,-0.26929258828853697,0.5860431603466814,-0.2689159426655655,-1.4148947986400566,0.8376016997082141,-0.06480308038168352,0.03525585594201503,-0.06520858200103738,-0.1357534722739258,0.0011828264156419546
41,13,Ag90Pd10,0.5,C,material=Ag90Pd10 | electrolyte_concentration_M=0.5 | replicate=C,-0.3321683709635092,0.5890533479591882,-0.3399393735640166,-1.5266200518694717,0.7868312954280334,-0.0791848570945631,0.03587599255550842,-0.07950270168243587,-0.1456639975818,-0.0049181816745847194
42,14,Ag90Pd10,1.0,A,material=Ag90Pd10 | electrolyte_concentration_M=1.0 | replicate=A,0.552116041674859,0.5972196629911068,0.5515458997602185,-0.5771712455472251,1.7723124701959099,0.12962532394846357,0.03621259025297065,0.128964825451104,0.057972442236787616,0.19903067843372477
43,14,Ag90Pd10,1.0,B,material=Ag90Pd10 | electrolyte_concentration_M=1.0 | replicate=B,0.2827693584578106,0.5838960674138048,0.2730019585102428,-0.7914179705954751,1.4961846594338726,0.06756945843425331,0.0342071075101858,0.0676737806814007,0.0003278887748175972,0.1305531964116713
44,14,Ag90Pd10,1.0,C,material=Ag90Pd10 | electrolyte_concentration_M=1.0 | replicate=C,-0.8655418349506849,0.6215506457875544,-0.8692204123926235,-2.0451485464371766,0.3655187462735735,-0.19719478238271687,0.036319950303698646,-0.19776659091411236,-0.26769975931743184,-0.1259542522844342
45,15,Pd100,0.25,A,material=Pd100 | electrolyte_concentration_M=0.25 | replicate=A,-0.7940348108233988,0.6398351396320104,-0.7846528259749695,-2.001720043745547,0.49481923205342526,-0.09324498471931947,0.02426088535026761,-0.09339313366704524,-0.13763818000707442,-0.043622663334217215
46,15,Pd100,0.25,B,material=Pd100 | electrolyte_concentration_M=0.25 | replicate=B,0.5642733926068706,0.619126266823145,0.5490189635090458,-0.6587502295064452,1.7697768733017236,0.06518285868882427,0.023494075573135865,0.06535896435503653,0.01978868032042471,0.11197994606276769
47,15,Pd100,0.25,C,material=Pd100 | electrolyte_concentration_M=0.25 | replicate=C,0.24748426121187067,0.6067815010726824,0.2445520216555917,-0.9096800104379926,1.482182679948477,0.02806212603049522,0.023434524795808143,0.028087916308457243,-0.018521516648511684,0.07304376992639602
48,16,Pd100,0.5,A,material=Pd100 | electrolyte_concentration_M=0.5 | replicate=A,0.23432827205741075,0.6076901108027263,0.22934176426948724,-0.9132346499868075,1.4409145574739008,0.027652734405868337,0.02260956707631484,0.02745729280542284,-0.02008507319625092,0.06796273525657873
49,16,Pd100,0.5,B,material=Pd100 | electrolyte_concentration_M=0.5 | replicate=B,1.1915188883382202,0.6806545279820337,1.181809375107099,-0.11818381283105817,2.5228023461464395,0.13941631056895995,0.023562948403685863,0.13946717660798522,0.09208174382799057,0.18347821178108992
50,16,Pd100,0.5,C,material=Pd100 | electrolyte_concentration_M=0.5 | replicate=C,-1.433912566596543,0.6974115940021097,-1.4168449892768922,-2.90968178645991,-0.1519425156306189,-0.16706904497482827,0.023461738944012725,-0.16736922481086097,-0.2140512885539821,-0.1211968441068893
51,17,Pd100,1.0,A,material=Pd100 | electrolyte_concentration_M=1.0 | replicate=A,-0.6557002381948092,0.6457584108144807,-0.6619343042597928,-1.9654095441044863,0.5091692938444344,-0.07737531450659373,0.02283344143095304,-0.0772840525306252,-0.1216109313257395,-0.03356781529620509
52,17,Pd100,1.0,B,material=Pd100 | electrolyte_concentration_M=1.0 | replicate=B,0.4898697855249785,0.627917089234873,0.47920749039645094,-0.7531448191237886,1.7184098254479234,0.05632098674620725,0.023280018861273347,0.05611055917425291,0.011947088663449932,0.10320728945664939
53,17,Pd100,1.0,C,material=Pd100 | electrolyte_concentration_M=1.0 | replicate=C,0.18814644110539347,0.6225310124448612,0.18489707115224197,-1.0345350219968528,1.4037575466532928,0.021054327760386477,0.023116014649338594,0.021370676033792488,-0.02838490476365949,0.06221877063994873
