material,electrolyte_concentration_M,CO_mole_fraction,n_potentials,n_replicates,shared_rms,replicate_specific_rms,shared_fraction_squared_residual,replicate_fraction_squared_residual
Ag50Pd50,0.25,0.001,41,3,0.292529978886477,0.17373666346739164,0.739245912105571,0.26075408789442894
Ag50Pd50,0.25,0.01,41,3,0.2695149654056859,0.0884795060788849,0.9027100690364427,0.09728993096355695
Ag50Pd50,0.25,0.1,41,3,0.25713187380612457,0.10516971789173364,0.8566852534975952,0.14331474650240517
Ag50Pd50,0.25,1.0,41,3,0.38573742647642484,0.1603290101254691,0.8526901141307783,0.14730988586922217
Ag50Pd50,0.5,0.001,41,3,0.30216203794577207,0.1199506849260394,0.8638645273635289,0.1361354726364712
Ag50Pd50,0.5,0.01,41,3,0.20917409072237078,0.0920902938002165,0.837643036607345,0.16235696339265507
Ag50Pd50,0.5,0.1,41,3,0.09913418327333667,0.069821959476356,0.6684208633666122,0.3315791366333876
Ag50Pd50,0.5,1.0,41,3,0.5186329299728151,0.0789169839513878,0.977370242830992,0.022629757169007652
Ag50Pd50,1.0,0.001,41,3,0.5384448266398791,0.133229712134631,0.9423083698769495,0.05769163012305071
Ag50Pd50,1.0,0.01,41,3,0.06263729127147236,0.03371290195026627,0.7753830038451066,0.22461699615489333
Ag50Pd50,1.0,0.1,41,3,0.19105355032017884,0.03569920392942275,0.9662633207252423,0.033736679274757986
Ag50Pd50,1.0,1.0,41,3,0.6190919004035027,0.11016740948591845,0.9693057641509707,0.03069423584902902
Ag75Pd25,0.25,0.001,41,3,0.20836045151579524,0.14598923592430504,0.6707266135148865,0.32927338648511323
Ag75Pd25,0.25,0.01,41,3,0.5547770911190022,0.04562078709056402,0.9932832125559573,0.00671678744404283
Ag75Pd25,0.25,0.1,41,3,0.3401796492624459,0.052839668301919225,0.9764413886830025,0.02355861131699771
Ag75Pd25,0.25,1.0,41,3,0.26588607958539406,0.08185126583772918,0.9134359259227888,0.08656407407721119
Ag75Pd25,0.5,0.001,41,3,0.28292162430325196,0.11574447922849632,0.8566290726058157,0.14337092739418447
Ag75Pd25,0.5,0.01,41,3,0.28715199732466923,0.045600800274724095,0.9754017187662741,0.02459828123372621
Ag75Pd25,0.5,0.1,41,3,0.13605198979286204,0.058885711060055815,0.8422250026479841,0.15777499735201575
Ag75Pd25,0.5,1.0,41,3,0.45971312840758216,0.08998036748176194,0.963102722488307,0.036897277511693014
Ag75Pd25,1.0,0.001,41,3,0.14894714355474248,0.11683667454749024,0.6190761907389891,0.3809238092610108
Ag75Pd25,1.0,0.01,41,3,0.4824808613856669,0.08516970239667603,0.9697807530072645,0.0302192469927356
Ag75Pd25,1.0,0.1,41,3,0.2628934985698111,0.059706684897020516,0.9509494741642174,0.04905052583578268
Ag75Pd25,1.0,1.0,41,3,0.3090380014490622,0.027071988091724203,0.992384533454918,0.007615466545082511
Ag90Pd10,0.25,0.001,41,3,0.5647399952049839,0.12505846905682796,0.9532546868728671,0.04674531312713326
Ag90Pd10,0.25,0.01,41,3,0.8692903675948108,0.054203183688696414,0.9961271148396332,0.0038728851603668534
Ag90Pd10,0.25,0.1,41,3,0.4654491144315743,0.05190312142524619,0.9877178208828036,0.012282179117196392
Ag90Pd10,0.25,1.0,41,3,0.28444509068889595,0.06183606913724317,0.9548733955444917,0.045126604455508305
Ag90Pd10,0.5,0.001,41,3,0.5687140878325481,0.06330743358710166,0.9877602377250623,0.012239762274937982
Ag90Pd10,0.5,0.01,41,3,0.9006985046364602,0.03152656047088679,0.9987763349829596,0.0012236650170401955
Ag90Pd10,0.5,0.1,41,3,0.5234635841837849,0.042250556665125706,0.9935275036270896,0.006472496372910801
Ag90Pd10,0.5,1.0,41,3,0.3341973570952438,0.0916089621127949,0.9301116200217789,0.0698883799782212
Ag90Pd10,1.0,0.001,41,3,0.30490945331372993,0.09597096144101834,0.9098609571571399,0.09013904284285984
Ag90Pd10,1.0,0.01,41,3,0.7665403268226872,0.02584359745118218,0.9988646165760687,0.0011353834239309982
Ag90Pd10,1.0,0.1,41,3,0.5281237726780016,0.028682661374786353,0.9970590452996512,0.0029409547003485816
Ag90Pd10,1.0,1.0,41,3,0.17306739132868734,0.07390660642959175,0.8457641594260951,0.1542358405739049
Pd100,0.25,0.001,38,3,0.5749986152579142,0.17385234963706603,0.916239980446908,0.08376001955309166
Pd100,0.25,0.01,41,3,0.3943540899425857,0.07032699278663708,0.9691770283045351,0.030822971695464958
Pd100,0.25,0.1,41,3,0.18572711505573158,0.10217454403913175,0.7676683295174871,0.23233167048251294
Pd100,0.25,1.0,41,3,0.4049566564197997,0.12250038588634933,0.9161639110417524,0.08383608895824748
Pd100,0.5,0.001,40,3,0.3325738179017663,0.10380466023920629,0.9112263903136789,0.0887736096863211
Pd100,0.5,0.01,41,3,0.5051057816626211,0.06021198657962828,0.9859888673613046,0.014011132638695184
Pd100,0.5,0.1,41,3,0.26652581602159847,0.08254796683317701,0.9124707604675072,0.08752923953249259
Pd100,0.5,1.0,41,3,0.16413720239460097,0.07294004402885661,0.8350886428333637,0.16491135716663652
Pd100,1.0,0.001,41,3,0.4265336186245714,0.06379820068670808,0.9781172822400911,0.021882717759908958
Pd100,1.0,0.01,41,3,0.38843646390589737,0.03198358183375866,0.9932658972567326,0.006734102743267443
Pd100,1.0,0.1,41,3,0.16229065208460716,0.028720960227320524,0.9696318881528698,0.030368111847130317
Pd100,1.0,1.0,41,3,0.25550149157682134,0.0338228412064882,0.98277779988492,0.01722220011508039
