material,electrolyte_concentration_M,CO_mole_fraction,n_potentials,n_replicates,shared_rms,replicate_specific_rms,shared_fraction_squared_residual,replicate_fraction_squared_residual
Ag75Pd25,0.25,0.01,41,3,0.46884503242597503,0.07946653168536255,0.9720739704260183,0.02792602957398187
Ag75Pd25,0.25,0.1,41,3,0.3783213514189546,0.05049170466658991,0.9824994903809681,0.01750050961903203
Ag75Pd25,0.25,1.0,41,3,0.14353432383942327,0.0687967929629857,0.8131841372369984,0.18681586276300144
Ag75Pd25,0.5,0.001,41,3,0.4693493546385815,0.10536125293567396,0.9520247084137748,0.04797529158622509
Ag75Pd25,0.5,0.01,41,3,0.2875634270251096,0.0440272397107978,0.9770959219066735,0.02290407809332642
Ag75Pd25,0.5,0.1,41,3,0.1438835405708103,0.06758296316603797,0.8192532831774558,0.1807467168225441
Ag75Pd25,0.5,1.0,41,3,0.38532070577209016,0.10061744002910768,0.9361656370286835,0.06383436297131632
Ag75Pd25,1.0,0.001,41,3,0.28390039880140683,0.2146281094505012,0.6363214119113312,0.3636785880886689
Ag75Pd25,1.0,0.01,41,3,0.5335539819154284,0.1790791320196441,0.8987547977180456,0.10124520228195433
Ag75Pd25,1.0,0.1,41,3,0.30647986734007704,0.07592886994423569,0.9421717501299429,0.057828249870056865
Ag75Pd25,1.0,1.0,41,3,0.3038568066671569,0.09988469308154137,0.9024792230756274,0.09752077692437282
Ag90Pd10,0.25,0.001,41,3,0.3067829384261518,0.4060155845534892,0.3634312738892334,0.6365687261107666
Ag90Pd10,0.25,0.01,41,3,0.7704637117732582,0.26473141864276584,0.8944055522469921,0.10559444775300791
Ag90Pd10,0.25,0.1,41,3,0.5140145141686648,0.32559394007634823,0.7136547314691264,0.2863452685308739
Ag90Pd10,0.25,1.0,41,3,0.23540038684369607,0.2525005778466382,0.4649945128292994,0.5350054871707006
Ag90Pd10,0.5,0.001,41,3,0.4144168042255714,0.10615390956941714,0.9384260084006095,0.061573991599390525
Ag90Pd10,0.5,0.01,41,3,0.8536422686150438,0.0937137337852834,0.9880916418927802,0.011908358107219763
Ag90Pd10,0.5,0.1,41,3,0.5506344320356896,0.09998337114735324,0.9680816231736917,0.03191837682630832
Ag90Pd10,0.5,1.0,41,3,0.3010628759320751,0.1741537655668318,0.7492771935693722,0.2507228064306279
Ag90Pd10,1.0,0.001,41,3,0.3189042171747028,0.21080728499435464,0.6959091990153566,0.30409080098464314
Ag90Pd10,1.0,0.01,41,3,0.7837382297961033,0.14615525521929426,0.9663921895338226,0.033607810466177584
Ag90Pd10,1.0,0.1,41,3,0.5281080557678818,0.14710671803862924,0.9279946292144948,0.07200537078550505
Ag90Pd10,1.0,1.0,41,3,0.15869381459624587,0.12251667771987253,0.6265533972466677,0.3734466027533324
Pd100,0.25,0.001,38,3,2.867974344002856,0.19797319462314938,0.995257604573715,0.004742395426284876
Pd100,0.25,0.01,41,3,2.8820009284789188,0.08086109325479356,0.999213408520061,0.000786591479939293
Pd100,0.25,0.1,41,3,4.051899049521195,0.15178620484992636,0.9985986766535634,0.0014013233464361952
Pd100,0.25,1.0,41,3,5.930096356367566,0.113936175228681,0.9996309888547705,0.0003690111452292937
Pd100,0.5,0.001,40,3,2.923661586344694,0.1974363212432882,0.9954603344626609,0.004539665537339216
Pd100,0.5,0.01,41,3,2.656141998933526,0.15258864184815996,0.9967106435889173,0.0032893564110829327
Pd100,0.5,0.1,41,3,3.740849806620281,0.14022914625082036,0.9985967786076241,0.001403221392375982
Pd100,0.5,1.0,41,3,5.679575695260601,0.13215503562242933,0.9994588712913259,0.000541128708674048
Pd100,1.0,0.001,41,3,3.1061372384761055,0.08442422709195882,0.9992618031409933,0.0007381968590067929
Pd100,1.0,0.01,41,3,2.7228301150306815,0.07487017330567551,0.999244475865247,0.0007555241347533504
Pd100,1.0,0.1,41,3,3.785690100048272,0.06861124634209086,0.9996716342383418,0.00032836576165808047
Pd100,1.0,1.0,41,3,5.773155363687599,0.06497490623615922,0.9998733486494727,0.0001266513505271489
