material,electrolyte_concentration_M,CO_mole_fraction,n_potentials,n_replicates,shared_rms,replicate_specific_rms,shared_fraction_squared_residual,replicate_fraction_squared_residual
Ag25Pd75,0.5,0.01,41,3,0.4562253267075632,0.04796287920554398,0.9890685417875763,0.010931458212423648
Ag25Pd75,0.5,0.1,41,3,0.5583531331692299,0.06785186944637099,0.9854474470120065,0.014552552987994015
Ag25Pd75,0.5,1.0,41,3,1.0635798327946209,0.07527836880438349,0.995015403410136,0.004984596589864335
Ag25Pd75,1.0,0.001,41,3,1.0436692889054402,0.04055836051162892,0.9984920755024842,0.0015079244975153983
Ag25Pd75,1.0,0.01,41,3,0.47209924063365416,0.022430246238436227,0.9977477208150755,0.002252279184924575
Ag25Pd75,1.0,0.1,41,3,0.5007392626042652,0.025503260429088896,0.997412722426007,0.0025872775739930057
Ag25Pd75,1.0,1.0,41,3,1.0479111949396003,0.05806291539243714,0.9969393233982338,0.003060676601766259
Ag50Pd50,0.25,0.001,41,3,0.6549169488186808,0.17303527073950728,0.9347483467496951,0.06525165325030491
Ag50Pd50,0.25,0.01,41,3,0.2663973434103443,0.08812580858796007,0.9013617057061687,0.09863829429383152
Ag50Pd50,0.25,0.1,41,3,0.29065107070479423,0.10568884070749122,0.8832164760182522,0.11678352398174797
Ag50Pd50,0.25,1.0,41,3,0.27038381711528603,0.16123535372884656,0.7376818869415106,0.2623181130584893
Ag50Pd50,0.5,0.001,41,3,0.52982972534773,0.11929667996923574,0.9517489804128334,0.048251019587166315
Ag50Pd50,0.5,0.01,41,3,0.1997813723767344,0.09188618162295044,0.8253964659003015,0.1746035340996987
Ag50Pd50,0.5,0.1,41,3,0.09051093446136065,0.07065528701306302,0.621357815134877,0.3786421848651231
Ag50Pd50,0.5,1.0,41,3,0.4679426767697987,0.08034496791817672,0.9713638908943727,0.028636109105626938
Ag50Pd50,1.0,0.001,41,3,0.7568541902271566,0.13501283645255188,0.9691595323383699,0.03084046766163026
Ag50Pd50,1.0,0.01,41,3,0.23147222982869353,0.03479952683473766,0.9778974590001047,0.022102540999895073
Ag50Pd50,1.0,0.1,41,3,0.1390768882384873,0.03433827603599071,0.9425423427353931,0.057457657264606644
Ag50Pd50,1.0,1.0,41,3,0.617514496334038,0.10847950257750325,0.9700634869018365,0.029936513098163704
Ag75Pd25,0.25,0.001,41,3,0.2616854642531925,0.14578672711559953,0.7631444676370146,0.23685553236298562
Ag75Pd25,0.25,0.01,41,3,0.4665748534624183,0.0455404496213706,0.9905629974507083,0.00943700254929153
Ag75Pd25,0.25,0.1,41,3,0.37827211513146436,0.052796375999552767,0.9808917613202008,0.019108238679798963
Ag75Pd25,0.25,1.0,41,3,0.14157431770419396,0.08158446610399635,0.7507042513254303,0.2492957486745692
Ag75Pd25,0.5,0.001,41,3,0.4745746601330576,0.11617827070976022,0.9434589666790595,0.05654103332094073
Ag75Pd25,0.5,0.01,41,3,0.2844273067306578,0.04575606848959589,0.9747734128291503,0.025226587170849808
Ag75Pd25,0.5,0.1,41,3,0.14228516697306423,0.05873182538298409,0.8544207353029261,0.1455792646970737
Ag75Pd25,0.5,1.0,41,3,0.3870906096751764,0.08970706896683708,0.9490307384850387,0.050969261514961145
Ag75Pd25,1.0,0.001,41,3,0.28701628048770744,0.11763024813766704,0.8561882912184411,0.1438117087815587
Ag75Pd25,1.0,0.01,41,3,0.5285322467569404,0.08582036791604004,0.9743116816603343,0.025688318339665787
Ag75Pd25,1.0,0.1,41,3,0.30372871970874066,0.05878723722150081,0.9638904513537684,0.03610954864623197
Ag75Pd25,1.0,1.0,41,3,0.3093224172421849,0.02614755968195587,0.9929050838122162,0.007094916187783963
Ag90Pd10,0.25,0.001,41,3,0.30210080521816257,0.12397958676075954,0.8558557916941818,0.1441442083058179
Ag90Pd10,0.25,0.01,41,3,0.766692860985397,0.054900664762157964,0.9948985788544029,0.005101421145597332
Ag90Pd10,0.25,0.1,41,3,0.5128461009007989,0.051666943070506836,0.9899523222836841,0.010047677716315763
Ag90Pd10,0.25,1.0,41,3,0.23535389760176004,0.06265791517823306,0.9338135251139704,0.06618647488602984
Ag90Pd10,0.5,0.001,41,3,0.40711023727210355,0.06358224842653197,0.9761887863959223,0.02381121360407801
Ag90Pd10,0.5,0.01,41,3,0.8480755997520374,0.03214289397754806,0.9985655764531969,0.001434423546803108
Ag90Pd10,0.5,0.1,41,3,0.5480915509278764,0.04263916286500481,0.9939842383269843,0.006015761673015674
Ag90Pd10,0.5,1.0,41,3,0.303748007421126,0.09118834582602763,0.9173248557822964,0.08267514421770379
Ag90Pd10,1.0,0.001,41,3,0.3129784082705303,0.09566919590937852,0.9145480422788747,0.08545195772112522
Ag90Pd10,1.0,0.01,41,3,0.7767818036438299,0.025801370367091066,0.9988979315424799,0.0011020684575201317
Ag90Pd10,1.0,0.1,41,3,0.5237477192653637,0.028479711697087733,0.9970518834701573,0.002948116529842324
Ag90Pd10,1.0,1.0,41,3,0.1643159314651911,0.07434740669747991,0.830064490335859,0.16993550966414106
Pd100,0.25,0.001,38,3,2.863127112259358,0.1944502903755291,0.9954086821702568,0.004591317829743598
